n,residue,M,event_A,event_B,stopping_time,mean_traj_event_A
72138752,0,12,0,1,104,0.480769
33882112,0,12,0,1,95,0.473684
136941568,0,12,0,1,59,0.355932
63307776,0,12,0,1,34,0.176471
265986048,0,12,0,1,44,0.25
241319936,0,12,0,1,63,0.365079
253538304,0,12,0,1,128,0.5
203804672,0,12,0,1,96,0.458333
112721920,0,12,0,1,84,0.440476
50393088,0,12,0,1,86,0.453488
261918720,0,12,0,1,155,0.522581
15220736,0,12,0,1,97,0.484536
209281024,0,12,0,1,66,0.378788
232341504,0,12,0,1,55,0.327273
1134592,0,12,0,1,25,0.16
239116288,0,12,0,1,120,0.491667
142987264,0,12,0,1,105,0.47619
122818560,0,12,0,1,73,0.410959
54886400,0,12,0,1,102,0.480392
170422272,0,12,0,1,110,0.481818
16424960,0,12,0,1,86,0.465116
11984896,0,12,0,1,103,0.495146
13664256,0,12,0,1,100,0.49
4943872,0,12,0,1,59,0.40678
204660737,1,12,1,0,161,0.521739
116289537,1,12,1,0,111,0.477477
226623489,1,12,1,0,123,0.487805
15593473,1,12,1,0,70,0.414286
119021569,1,12,1,0,157,0.522293
235089921,1,12,1,0,82,0.414634
266190849,1,12,1,0,128,0.492188
125136897,1,12,1,0,135,0.503704
185597953,1,12,1,0,126,0.492063
123949057,1,12,1,0,184,0.538043
117460993,1,12,1,0,100,0.46
246751233,1,12,1,0,166,0.524096
155578369,1,12,1,0,67,0.373134
11538433,1,12,1,0,114,0.5
223436801,1,12,1,0,196,0.540816
53690369,1,12,1,0,83,0.433735
99811329,1,12,1,0,114,0.482456
159125505,1,12,1,0,102,0.460784
64905217,1,12,1,0,191,0.544503
178618369,1,12,1,0,80,0.4125
226619393,1,12,1,0,177,0.531073
101924865,1,12,1,0,103,0.466019
162873345,1,12,1,0,121,0.487603
152559617,1,12,1,0,178,0.533708
268095490,2,12,0,1,125,0.496
211181570,2,12,0,1,104,0.471154
18538498,2,12,0,1,72,0.430556
257822722,2,12,0,1,147,0.517007
130322434,2,12,0,1,97,0.463918
217051138,2,12,0,1,169,0.532544
222433282,2,12,0,1,215,0.553488
92884994,2,12,0,1,79,0.43038
197099522,2,12,0,1,115,0.486957
201170946,2,12,0,1,96,0.458333
46424066,2,12,0,1,143,0.524476
235667458,2,12,0,1,101,0.465347
57946114,2,12,0,1,99,0.474747
87887874,2,12,0,1,144,0.520833
211128322,2,12,0,1,131,0.503817
198926338,2,12,0,1,96,0.458333
262905858,2,12,0,1,155,0.522581
15880194,2,12,0,1,124,0.516129
251965442,2,12,0,1,120,0.491667
23347202,2,12,0,1,123,0.512195
165642242,2,12,0,1,124,0.5
211312642,2,12,0,1,104,0.471154
91459586,2,12,0,1,144,0.520833
90513410,2,12,0,1,144,0.520833
121839619,3,12,1,0,165,0.527273
6606851,3,12,1,0,118,0.508475
107118595,3,12,1,0,84,0.428571
