freq_index,amplitude,phase_rad,re,im
0,0.48649166,0.0,0.48649166,0.0
1,0.00014706,-0.82500042,9.979e-05,-0.00010802
2,0.00032785,-2.18565469,-0.00018912,-0.0002678
3,0.00024461,0.6997455,0.00018713,0.00015754
4,0.00028504,1.36555043,5.809e-05,0.00027906
5,0.00013877,-1.03423251,7.094e-05,-0.00011927
6,0.00018517,1.14691935,7.616e-05,0.00016879
7,0.00014994,3.08170536,-0.00014967,8.97e-06
8,0.0001627,1.02498409,8.446e-05,0.00013906
9,0.00041347,1.02003065,0.00021639,0.00035233
10,2.175e-05,-2.66859446,-1.936e-05,-9.91e-06
11,0.00017895,1.80797406,-4.205e-05,0.00017394
12,0.0005097,0.96108983,0.00029187,0.00041786
13,0.00010176,-2.22532698,-6.195e-05,-8.073e-05
14,0.00017233,2.88490697,-0.00016668,4.375e-05
15,4.367e-05,-0.57293508,3.67e-05,-2.367e-05
16,0.0007443,0.95164494,0.00043195,0.00060614
17,0.0002094,1.45216772,2.478e-05,0.00020793
18,0.00055233,1.23703106,0.00018095,0.00052185
19,0.00022487,-0.8830155,0.00014275,-0.00017375
20,0.00014026,2.56772719,-0.00011779,7.614e-05
21,0.00014263,2.1195282,-7.44e-05,0.00012169
22,0.00016153,-2.90385507,-0.00015699,-3.804e-05
23,7.401e-05,-2.21142083,-4.424e-05,-5.934e-05
24,0.00073675,1.29315922,0.00020193,0.00070854
25,0.00026668,1.53477862,9.6e-06,0.00026651
26,5.394e-05,-1.9908128,-2.2e-05,-4.925e-05
27,0.00049265,1.39841141,8.451e-05,0.00048535
28,0.00026933,-1.36228106,5.575e-05,-0.00026349
29,0.0001083,1.20330832,3.891e-05,0.00010107
30,0.00020195,-2.13744887,-0.00010841,-0.00017038
31,0.00016263,-1.51073229,9.76e-06,-0.00016234
32,0.00051736,1.04565003,0.00025937,0.00044765
33,0.00021318,-1.58195628,-2.38e-06,-0.00021317
34,0.00016937,0.10402874,0.00016845,1.759e-05
35,0.00014658,-2.78875169,-0.00013755,-5.065e-05
36,0.00062945,1.17961544,0.00024,0.0005819
37,8.008e-05,-2.60912488,-6.899e-05,-4.065e-05
38,7.482e-05,0.10806575,7.438e-05,8.07e-06
39,0.00030241,-2.81899043,-0.00028681,-9.588e-05
40,5.471e-05,-1.22169496,1.872e-05,-5.141e-05
41,0.00015435,-1.99691841,-6.38e-05,-0.00014054
42,0.00028439,0.0729455,0.00028363,2.073e-05
43,2.417e-05,1.96975237,-9.39e-06,2.227e-05
44,9.182e-05,1.51253918,5.35e-06,9.167e-05
45,8.599e-05,-1.7612127,-1.628e-05,-8.444e-05
46,0.00016796,0.05516889,0.0001677,9.26e-06
47,0.00017684,-0.02740109,0.00017677,-4.84e-06
48,0.00087344,1.25177007,0.00027395,0.00082937
49,0.0001735,1.70230727,-2.275e-05,0.000172
50,0.00011908,1.09823625,5.42e-05,0.00010603
51,6.717e-05,2.63366321,-5.869e-05,3.267e-05
52,0.00018471,-3.05399587,-0.00018401,-1.616e-05
53,8.451e-05,-3.12179052,-8.449e-05,-1.67e-06
54,0.00061984,2.08346754,-0.00030404,0.00054015
55,4.619e-05,1.59593629,-1.16e-06,4.617e-05
56,0.00021378,1.4065055,3.496e-05,0.0002109
57,0.0003375,0.67413804,0.00026367,0.00021068
58,7.562e-05,-2.98305274,-7.467e-05,-1.194e-05
59,0.00017203,2.67849251,-0.00015391,7.685e-05
60,0.00019867,-1.28619002,5.578e-05,-0.00019068
61,0.00019603,-2.7279611,-0.0001795,-7.879e-05
62,0.0002219,0.6576679,0.00017561,0.00013564
