freq_index,amplitude
0,2047.00000000
1,1.00000000
2,3.00000000
3,1.00000000
4,7.00000000
5,1.00000000
6,3.00000000
7,1.00000000
8,15.00000000
9,1.00000000
10,3.00000000
11,1.00000000
12,7.00000000
13,1.00000000
14,3.00000000
15,1.00000000
16,31.00000000
17,1.00000000
18,3.00000000
19,1.00000000
20,7.00000000
21,1.00000000
22,3.00000000
23,1.00000000
24,15.00000000
25,1.00000000
26,3.00000000
27,1.00000000
28,7.00000000
29,1.00000000
30,3.00000000
31,1.00000000
32,63.00000000
33,1.00000000
34,3.00000000
35,1.00000000
36,7.00000000
37,1.00000000
38,3.00000000
39,1.00000000
40,15.00000000
41,1.00000000
42,3.00000000
43,1.00000000
44,7.00000000
45,1.00000000
46,3.00000000
47,1.00000000
48,31.00000000
49,1.00000000
50,3.00000000
