n,v2,log_ratio
8193,2,-0.2876413881
8195,1,0.4055057825
8197,4,-1.6739357691
8199,1,0.4055057626
8201,2,-0.2876414278
8203,1,0.4055057428
8205,3,-0.9807886282
8207,1,0.4055057230
8209,2,-0.2876414674
8211,1,0.4055057032
8213,6,-3.0602302095
8215,1,0.4055056835
8217,2,-0.2876415070
8219,1,0.4055056637
8221,3,-0.9807887073
8223,1,0.4055056440
8225,2,-0.2876415464
8227,1,0.4055056243
8229,4,-1.6739359272
8231,1,0.4055056046
8233,2,-0.2876415858
8235,1,0.4055055849
8237,3,-0.9807887860
8239,1,0.4055055653
8241,2,-0.2876416251
8243,1,0.4055055456
8245,5,-2.3670831864
8247,1,0.4055055260
8249,2,-0.2876416643
8251,1,0.4055055064
8253,3,-0.9807888645
8255,1,0.4055054869
8257,2,-0.2876417035
8259,1,0.4055054673
8261,4,-1.6739360841
8263,1,0.4055054478
8265,2,-0.2876417426
8267,1,0.4055054283
8269,3,-0.9807889426
8271,1,0.4055054088
8273,2,-0.2876417816
8275,1,0.4055053893
8277,8,-4.4465248844
8279,1,0.4055053698
8281,2,-0.2876418205
8283,1,0.4055053504
8285,3,-0.9807890205
8287,1,0.4055053309
8289,2,-0.2876418593
8291,1,0.4055053115
8293,4,-1.6739362398
8295,1,0.4055052922
8297,2,-0.2876418981
8299,1,0.4055052728
8301,3,-0.9807890980
8303,1,0.4055052534
8305,2,-0.2876419368
8307,1,0.4055052341
8309,5,-2.3670834978
8311,1,0.4055052148
8313,2,-0.2876419754
8315,1,0.4055051955
8317,3,-0.9807891753
8319,1,0.4055051762
8321,2,-0.2876420140
8323,1,0.4055051570
8325,4,-1.6739363943
8327,1,0.4055051377
8329,2,-0.2876420524
8331,1,0.4055051185
8333,3,-0.9807892522
8335,1,0.4055050993
8337,2,-0.2876420908
8339,1,0.4055050801
8341,6,-3.0602308323
8343,1,0.4055050610
8345,2,-0.2876421292
8347,1,0.4055050418
8349,3,-0.9807893289
8351,1,0.4055050227
8353,2,-0.2876421674
8355,1,0.4055050036
8357,4,-1.6739365476
8359,1,0.4055049845
8361,2,-0.2876422056
8363,1,0.4055049654
8365,3,-0.9807894052
8367,1,0.4055049464
8369,2,-0.2876422437
8371,1,0.4055049273
8373,5,-2.3670838044
8375,1,0.4055049083
8377,2,-0.2876422818
8379,1,0.4055048893
8381,3,-0.9807894813
8383,1,0.4055048703
8385,2,-0.2876423197
8387,1,0.4055048514
8389,4,-1.6739366998
8391,1,0.4055048324
8393,2,-0.2876423576
8395,1,0.4055048135
8397,3,-0.9807895571
8399,1,0.4055047946
8401,2,-0.2876423954
8403,1,0.4055047757
