residue,n,log_drift
1,1282049,-0.2876818125
1,1100801,-0.2876817696
1,1625345,-0.2876818674
1,1562113,-0.2876818591
1,1516545,-0.2876818527
1,1341185,-0.2876818239
1,1263361,-0.2876818086
1,1230849,-0.2876818016
1,1933313,-0.2876819000
1,1115137,-0.2876817735
1,1111041,-0.2876817724
1,1244929,-0.2876818047
1,1507073,-0.2876818513
1,1536257,-0.2876818555
1,1104129,-0.2876817706
1,1465345,-0.2876818450
1,1928193,-0.2876818996
1,1510657,-0.2876818518
1,1990401,-0.2876819050
1,1631745,-0.2876818682
1,1062145,-0.2876817586
1,1383169,-0.2876818315
1,1934849,-0.2876819002
1,1762049,-0.2876818833
1,1631233,-0.2876818681
1,1374465,-0.2876818299
1,1499905,-0.2876818502
1,1754369,-0.2876818824
1,1262849,-0.2876818085
1,1242881,-0.2876818043
1,1845249,-0.2876818918
1,1251329,-0.2876818061
1,1801217,-0.2876818874
1,1769729,-0.2876818841
1,1603073,-0.2876818645
1,1139457,-0.2876817799
1,2011905,-0.2876819068
1,1310209,-0.2876818180
1,1842177,-0.2876818915
1,1213697,-0.2876817978
1,1663233,-0.2876818720
1,1806849,-0.2876818880
1,1451777,-0.2876818428
1,1194241,-0.2876817933
1,1144577,-0.2876817812
1,1526273,-0.2876818541
1,1655297,-0.2876818711
1,1215745,-0.2876817983
1,1536769,-0.2876818555
1,1260289,-0.2876818080
1,1845505,-0.2876818918
1,1631489,-0.2876818681
1,1999361,-0.2876819057
1,1813505,-0.2876818886
1,1389569,-0.2876818326
1,1824769,-0.2876818898
1,1793537,-0.2876818866
1,1487873,-0.2876818484
1,1608449,-0.2876818652
1,1198081,-0.2876817942
1,1407233,-0.2876818356
1,1561857,-0.2876818590
1,1391105,-0.2876818328
1,2017793,-0.2876819073
1,1844225,-0.2876818917
1,1614593,-0.2876818660
1,1509121,-0.2876818516
1,1728513,-0.2876818796
1,1165825,-0.2876817865
1,1528833,-0.2876818544
1,1115649,-0.2876817737
1,1710081,-0.2876818775
1,1889793,-0.2876818961
1,1609985,-0.2876818654
1,1187329,-0.2876817917
1,1490945,-0.2876818489
1,1708289,-0.2876818773
1,1494273,-0.2876818494
3,2095363,0.4054652672
3,1878275,0.4054652856
3,2010627,0.4054652739
3,1348099,0.4054653554
3,1603843,0.4054653159
3,1341187,0.4054653566
3,1565699,0.4054653210
3,1599491,0.4054653165
3,1946883,0.4054652793
3,1885955,0.4054652849
3,1807619,0.4054652925
3,1508355,0.4054653291
3,1338627,0.4054653571
3,2083331,0.4054652681
3,1239043,0.4054653771
3,1147139,0.4054653987
3,1278467,0.4054653688
3,1369091,0.4054653516
3,1383939,0.4054653490
3,1933827,0.4054652805
3,1181699,0.4054653902
3,1855491,0.4054652878
3,1848835,0.4054652884
3,2030083,0.4054652723
3,1575683,0.4054653197
3,1072643,0.4054654189
3,1288707,0.4054653668
3,1607939,0.4054653154
3,1761795,0.4054652973
3,1282307,0.4054653681
3,1664003,0.4054653084
3,1960195,0.4054652782
3,1380099,0.4054653496
3,1999875,0.4054652748
3,1055235,0.4054654240
3,1600771,0.4054653163
3,1423107,0.4054653423
3,1271555,0.4054653703
3,1674243,0.4054653072
3,1465603,0.4054653355
3,1369091,0.4054653516
3,1832707,0.4054652900
3,1387267,0.4054653484
3,1049603,0.4054654257
3,1728259,0.4054653010
3,2073091,0.4054652689
3,1089283,0.4054654141
3,1283075,0.4054653679
3,1809667,0.4054652923
3,1693443,0.4054653049
3,1550595,0.4054653231
3,1169923,0.4054653930
3,1553667,0.4054653227
3,1213699,0.4054653828
3,1228035,0.4054653795
3,2067715,0.4054652693
3,1193475,0.4054653874
3,1312259,0.4054653621
3,1317635,0.4054653611
3,2045187,0.4054652711
3,1394691,0.4054653471
3,1604355,0.4054653159
3,1935875,0.4054652803
3,1492739,0.4054653314
3,1470211,0.4054653348
3,1702147,0.4054653039
3,1885187,0.4054652849
3,1831683,0.4054652901
3,1967107,0.4054652776
3,1995267,0.4054652752
3,1302275,0.4054653641
3,1568259,0.4054653207
3,1519619,0.4054653275
3,1182723,0.4054653899
3,1757443,0.4054652978
3,1092611,0.4054654132
3,1531139,0.4054653258
3,1510403,0.4054653288
5,1063429,-1.6739761201
5,1197317,-1.6739761552
5,1171973,-1.6739761492
5,1528581,-1.6739762155
5,1189893,-1.6739761534
5,1114373,-1.6739761344
5,1741317,-1.6739762421
5,1197061,-1.6739761551
5,1547525,-1.6739762182
5,1632517,-1.6739762294
5,2066437,-1.6739762723
5,1497861,-1.6739762110
5,1325829,-1.6739761822
5,2039813,-1.6739762702
5,1558021,-1.6739762196
5,2040325,-1.6739762702
5,1902085,-1.6739762583
5,1447685,-1.6739762033
5,1246213,-1.6739761661
5,1251845,-1.6739761673
5,1952517,-1.6739762629
5,1791493,-1.6739762475
5,1936645,-1.6739762615
5,1910533,-1.6739762591
5,2027781,-1.6739762692
5,1161989,-1.6739761467
5,1254917,-1.6739761679
5,1175557,-1.6739761500
5,1892869,-1.6739762575
5,1760005,-1.6739762442
5,1277701,-1.6739761727
5,1569797,-1.6739762212
5,1450245,-1.6739762037
5,1447429,-1.6739762033
5,1989381,-1.6739762660
5,1342469,-1.6739761853
5,1933317,-1.6739762612
5,1433349,-1.6739762010
5,1632517,-1.6739762294
5,2018565,-1.6739762684
5,1572357,-1.6739762216
5,1206533,-1.6739761573
5,1977861,-1.6739762650
5,1253893,-1.6739761677
5,1154565,-1.6739761449
5,1079301,-1.6739761247
5,1244165,-1.6739761657
5,1544197,-1.6739762177
5,1397253,-1.6739761950
5,1900805,-1.6739762582
5,2066949,-1.6739762723
5,2057989,-1.6739762716
5,1496837,-1.6739762109
5,1889541,-1.6739762572
5,1171461,-1.6739761490
5,1393669,-1.6739761944
5,1843205,-1.6739762527
5,1052933,-1.6739761170
5,1867269,-1.6739762551
5,1604613,-1.6739762258
5,2002693,-1.6739762671
5,1646597,-1.6739762311
5,1935621,-1.6739762614
5,2068997,-1.6739762725
5,1373189,-1.6739761908
5,1446661,-1.6739762032
5,1670661,-1.6739762340
5,1505029,-1.6739762121
5,1171205,-1.6739761490
5,1176325,-1.6739761502
5,1706245,-1.6739762382
5,1168389,-1.6739761483
5,1153541,-1.6739761446
5,2048261,-1.6739762708
5,1378565,-1.6739761918
5,1167621,-1.6739761481
5,1216517,-1.6739761596
5,1438213,-1.6739762018
7,1192199,0.4054653877
7,1190919,0.4054653880
7,1541639,0.4054653243
7,1895175,0.4054652840
7,1299975,0.4054653645
7,1564679,0.4054653211
7,1131783,0.4054654026
7,1220359,0.4054653813
7,1927687,0.4054652810
7,1711879,0.4054653028
7,1595399,0.4054653170
7,1476871,0.4054653338
7,1707271,0.4054653034
7,1549063,0.4054653233
7,1605383,0.4054653157
7,1878535,0.4054652856
7,1323015,0.4054653601
7,1677575,0.4054653068
7,2007303,0.4054652742
7,1711623,0.4054653029
7,1200647,0.4054653857
7,1068039,0.4054654202
7,2009607,0.4054652740
