xi,v2_xi,absF,reF,imF
4096,12,13146030.0,-13146030.0,0.0
1,0,10827269.277140582,-10183872.385919154,3676751.7222441975
4095,0,8415403.72142029,7278510.006341181,-4224016.084496573
3,0,4131720.1735727587,-2093636.9555527223,3561993.24691275
2,1,3925805.0568139586,2507829.810623639,3020386.5621892596
2048,11,3281038.5719921063,3281030.0,7500.000000000106
4094,1,2944336.8895052187,-2942275.578625298,110155.06491503073
5,0,2528767.8117494863,406796.17234087165,2495833.2315900237
4093,0,2364857.2787259677,2040224.8232324228,1195839.713092611
2049,0,2109315.36470936,-1824235.6177835714,-1058950.290905467
2047,0,2102250.874522986,-1817761.7967883446,1056030.6764339132
4092,2,1687681.9312980534,-398670.1268138716,-1639918.4221223136
8,3,1559606.2571073596,-563652.0797785069,1454189.812290607
4091,0,1284778.0794720305,-426410.41986446286,1211952.502090264
6,1,1226435.2771849548,-1071531.3810185622,596627.1772356584
10,1,1212959.470989446,385182.12552603165,1150176.251032095
4090,1,1168117.933923941,1018337.6897900389,-572265.5477204823
7,0,1114285.6412615292,840431.1213507229,731647.470156758
13,0,990508.642517872,-204744.13913868117,969116.7155667876
4089,0,928976.0227598108,-908741.259521422,-192836.13278132287
